,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
472,472,58.2,13.516667,90.8,300,0.947,
473,473,58.3608171,11.2511421,95.3,300,0.947,
474,474,58.55,13.533333,102.6,150,0.947,
475,475,58.5037196,13.1576427,93.8,250,0.947,
476,476,57.7072326,11.9670171,100.2,500,0.947,
477,477,58.3896329,13.8456344,90.4,500,0.947,
478,478,58.333333,12.666667,91.5,200,0.947,
479,479,57.833333,12.3,91.4,350,0.947,
480,480,58.7,13.833333,92.4,300,0.947,
481,481,58.3853435,13.6505707,96.6,100,0.947,
482,482,58.3846075,13.4397675,101.4,350,0.947,
483,483,58.416667,14.2,95.8,250,0.947,
484,484,58.2,13.933333,101.6,250,0.947,
485,485,58.2610628,12.9521468,87.8,200,0.947,
486,486,58.0340071,12.7769271,97.0,500,0.947,
487,487,58.2827931,12.2908612,90.6,500,0.947,
488,488,57.716667,11.633333,94.1,250,0.947,
489,489,58.2827931,12.2908612,88.0,175,0.947,
490,490,58.5037196,13.1576427,89.6,500,0.947,
491,491,58.916667,11.25,89.7,400,0.947,
492,492,58.6920072,11.2542334,90.1,150,0.947,
493,493,58.983838,12.6126708,90.2,500,0.947,
494,494,58.3608171,11.2511421,90.3,100,0.947,
495,495,57.5,13.433333,91.4,75,0.947,
496,496,58.416667,14.2,91.8,100,0.947,
497,497,58.7219089,11.3323854,94.0,150,0.947,
498,498,58.033333,13.116667,94.1,500,0.947,
499,499,58.3846075,13.4397675,94.4,150,0.947,
500,500,58.3490555,11.9382855,94.7,2000,0.947,
501,501,57.8,13.383333,95.9,200,0.947,
502,502,58.1799703,11.4687475,96.7,300,0.947,
503,503,58.083333,11.916667,97.7,200,0.947,
504,504,57.483333,13.1,98.6,150,0.947,
505,505,58.3896329,13.8456344,98.8,120,0.947,
506,506,57.9,11.916667,98.9,40,0.947,
507,507,57.5080076,12.6970568,100.6,200,0.947,
508,508,57.7210839,12.9407407,101.1,1000,0.947,
509,509,58.5597964,11.2638099,102.7,150,0.947,
510,510,58.7,13.833333,103.0,200,0.947,
511,511,58.583333,14.5,103.9,150,0.947,
512,512,59.032659,12.219105,104.1,150,0.947,
513,513,58.2,13.516667,104.3,100,0.947,
514,514,57.7072326,11.9670171,104.8,3000,0.947,
515,515,57.9998496,12.500037,106.7,150,0.947,
516,516,58.2,13.933333,107.0,50,0.947,
517,517,58.716667,12.466667,107.9,250,0.947,
518,518,58.1430369,11.8190628,93.8,300,0.947,
519,519,57.7072326,11.9670171,101.9,60000,0.947,
